# The mammalian lipid reaction network of BioPAN (LIPID MAPS; Gaud et al., F1000Research 2021),
# transcribed from the tool's own database (biopan_reaction and biopan_reaction_gene in the archived
# source, https://doi.org/10.17605/OSF.IO/PKD6B, GPL-3): 51 reactions between lipid classes, 13 over
# the ether lipids, 3 over the dihydro sphingoid bases and 30 between fatty acids, with the genes
# BioPAN names for each. Every gene is the human symbol: BioPAN's database gives the two
# stearoyl-CoA desaturases as the mouse Scd1 and Scd3, which are SCD and SCD5 here (human has those
# two; Scd3 has no one-to-one orthologue). Below them, marked "extension", the steps MIL-X adds
# for classes a lipidomics run confirms and BioPAN does not cover: the glycosphingolipids, the
# sterol esters, the acylcarnitines.
#
# kind says how a reaction maps molecular species onto one another:
#   preserving  the chains are kept; PE 34:1 -> PC 34:1
#   removes     one chain is lost; PC 16:0_18:1 -> LPC 16:0 or LPC 18:1 (needs the chains resolved)
#   adds        one chain is gained; LPC 16:0 -> PC 16:0_18:1 (needs the product's chains resolved)
#   class       only the whole classes relate; Chol -> CE
#   fa          a fatty-acid step, between chains summed over the species that carry them
#
# id	reactant	product	kind	genes	note	source
DGK	DG	PA	preserving	DGKA;DGKB;DGKD;DGKE;DGKG;DGKH;DGKI;DGKK;DGKQ;DGKZ	diacylglycerol kinase	biopan
PAP	PA	DG	preserving	PLPP1;PLPP2;PLPP3	phosphatidate phosphatase	biopan
PGS	PA	PG	preserving	CDS1;CDS2;PTPMT1	PG synthesis, via CDP-DG and PGP	biopan
PIS	PA	PI	preserving	CDS1;CDS2;CDIPT	PI synthesis, via CDP-DG	biopan
PSS-PA	PA	PS	preserving	CDS1;PTDSS1	PS synthesis from PA	biopan
PSD	PS	PE	preserving	PISD	phosphatidylserine decarboxylase	biopan
PSS2	PE	PS	preserving	PTDSS2	phosphatidylserine synthase 2	biopan
PEMT	PE	PC	preserving	PEMT	phosphatidylethanolamine N-methyltransferase	biopan
PSS1	PC	PS	preserving	PTDSS1	phosphatidylserine synthase 1	biopan
TGL	TG	DG	removes	PNPLA4;PNPLA5	triacylglycerol lipases	biopan
DGAT	DG	TG	adds	DGAT2	diacylglycerol acyltransferase	biopan
CLS	PG	CL	class	CRLS1	cardiolipin synthase	biopan
SGPP	SPBP	SPB	preserving	SGPP1;SGPP2	sphingosine-1-phosphate phosphatase	biopan
SPHK	SPB	SPBP	preserving	SPHK1;SPHK2	sphingosine kinase	biopan
CDase	Cer	SPB	removes	ACER1;ASAH1;ASAH2	ceramidase	biopan
CERS	SPB	Cer	adds	CERS1;CERS2;CERS3;CERS4;CERS5;CERS6	ceramide synthase	biopan
SMS	Cer	SM	preserving	SGMS1;SGMS2;CERT1	sphingomyelin synthase	biopan
SMase	SM	Cer	preserving	SMPD1;SMPD2;SMPD3	sphingomyelinase	biopan
dhSMS	dhCer	dhSM	preserving	SGMS1;SGMS2	dihydrosphingomyelin synthase	biopan
dhSMase	dhSM	dhCer	preserving	SGMS1;SGMS2;SMPD1	dihydrosphingomyelinase	biopan
DEGS	dhCer	Cer	preserving	DEGS1;DEGS2	dihydroceramide desaturase	biopan
LPCAT	LPC	PC	adds	LPCAT1;LPCAT2;LPCAT3;LPCAT4	lysophosphatidylcholine acyltransferase	biopan
PLA2-PC	PC	LPC	removes	PLA2G2E;PLA2G2A;PLA2G2D;PLA2G2F;PLA2G1B;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4E;PLA2G4F	phospholipase A2 on PC	biopan
AGPAT	LPA	PA	adds	AGPAT1;AGPAT2;AGPAT3;AGPAT4;AGPAT5	lysophosphatidate acyltransferase	biopan
PLA2-PA	PA	LPA	removes	PLA2G4A;PLA2G4D;PLA2G4E;PLA2G4F	phospholipase A2 on PA	biopan
LPEAT	LPE	PE	adds	MBOAT1;MBOAT2;LPCAT3;LPCAT4	lysophosphatidylethanolamine acyltransferase	biopan
PLA2-PE	PE	LPE	removes	PLA2G4C	phospholipase A2 on PE	biopan
LPIAT	LPI	PI	adds	MBOAT7	lysophosphatidylinositol acyltransferase	biopan
PLA2-PI	PI	LPI	removes	PLA2G4D;PLA2G4E	phospholipase A2 on PI	biopan
LPSAT	LPS	PS	adds	MBOAT1;LPCAT3;LPCAT4	lysophosphatidylserine acyltransferase	biopan
PLA2-PS	PS	LPS	removes	PLA2G2E;PLA2G2A;PLA2G2F	phospholipase A2 on PS	biopan
LPGAT	LPG	PG	adds	LPGAT1;CRLS1	lysophosphatidylglycerol acyltransferase	biopan
PLA2-PG	PG	LPG	removes	PLA2G4D;PLA2G4F;CRLS1	phospholipase A2 on PG	biopan
PLD-PC	PC	PA	preserving	PLD1;PLD2	phospholipase D on PC	biopan
