# The mammalian lipid reaction network, after BioPAN (LIPID MAPS; Gaud et al., F1000Research 2021),
# restricted to the subclasses MS-DIAL annotates in an LC-MS lipidomics run.
#
# kind says how a reaction maps molecular species onto one another:
#   preserving  the chains are kept; PE 34:1 -> PC 34:1
#   removes     one chain is lost; PC 16:0_18:1 -> LPC 16:0 or LPC 18:1 (needs the chains resolved)
#   adds        one chain is gained; LPC 16:0 -> PC 16:0_18:1 (needs the product's chains resolved)
#   class       only the whole classes relate; Chol -> CE
#
# id	reactant	product	kind	genes	note
PAP	PA	DG	preserving	LPIN1;LPIN2;LPIN3	phosphatidate phosphatase
DGK	DG	PA	preserving	DGKA;DGKD;DGKE;DGKQ;DGKZ	diacylglycerol kinase
DGAT	DG	TG	adds	DGAT1;DGAT2	diacylglycerol acyltransferase
ATGL	TG	DG	removes	PNPLA2;PNPLA3;LIPE	adipose triglyceride lipase
HSL	DG	MG	removes	LIPE;DAGLA;DAGLB	hormone-sensitive and diacylglycerol lipases
MGAT	MG	DG	adds	MOGAT1;MOGAT2;MOGAT3	monoacylglycerol acyltransferase
MGL	MG	FA	preserving	MGLL	monoacylglycerol lipase
AGPAT	LPA	PA	adds	AGPAT1;AGPAT2;AGPAT3;AGPAT4;AGPAT5	lysophosphatidate acyltransferase
PLA2-PA	PA	LPA	removes	PLA2G4A;PLA2G6	phospholipase A2 on PA
LPP	LPA	MG	preserving	PLPP1;PLPP2;PLPP3	lipid phosphate phosphatase
AGK	MG	LPA	preserving	AGK	acylglycerol kinase
CPT	DG	PC	preserving	CHPT1;CEPT1	choline phosphotransferase
EPT	DG	PE	preserving	SELENOI;CEPT1	ethanolamine phosphotransferase
PLC-PC	PC	DG	preserving	PLCB1;PLCB3;PLCG1;PLCG2;PLCD1;SGMS1;SGMS2	phospholipase C, and the sphingomyelin synthase that takes the headgroup
PEMT	PE	PC	preserving	PEMT	phosphatidylethanolamine N-methyltransferase
PSS1	PC	PS	preserving	PTDSS1	phosphatidylserine synthase 1
PSS2	PE	PS	preserving	PTDSS2	phosphatidylserine synthase 2
PSD	PS	PE	preserving	PISD	phosphatidylserine decarboxylase
PLD-PC	PC	PA	preserving	PLD1;PLD2	phospholipase D on PC
PLD-PE	PE	PA	preserving	PLD1;PLD2	phospholipase D on PE
CDS	PA	CDP-DG	preserving	CDS1;CDS2	CDP-diacylglycerol synthase
PIS	CDP-DG	PI	preserving	CDIPT	phosphatidylinositol synthase
PGS	CDP-DG	PG	preserving	PGS1;PTPMT1	phosphatidylglycerol synthesis via PGP
